location_id,type,name,description,city,country,amenities,styles,ranking,rating,num_reviews,price_level
1456254,hotels,Conrad Dubai,"Conrad Dubai in the United Arab Emirates is an incredible destination of choice for today’s smart luxury traveller. Located conveniently located in the hub of Dubai’s commercial centre on Sheikh Zayed Road, the property is a stylish city haven within close proximity to Dubai’s international financial and convention centre, one of the world’s fastest growing airport and world-class shopping destinations. The 555-room property is the perfect celebration of one of the world's favourite luxury cities and boasts locally inspired international design and tailor-made services to help each guest feel connected to their surroundings.",Dubai,United Arab Emirates,"Internet, Free Internet, Wifi, Free Wifi, Room service, Free parking, Spa, Meeting rooms, Laundry Service, Pool, Suites, Wheelchair access, Restaurant, Bar/Lounge, Airport transportation, Dry Cleaning, Hot Tub, Non-smoking rooms, Business center, Fitness center, Concierge, Banquet Room, Air conditioning, Family Rooms, Multilingual Staff, Smoking rooms available, Accessible rooms, Refrigerator in room, Minibar, Conference Facilities, Babysitting, Safe, Heated pool, Flatscreen TV, Breakfast Buffet, Poolside Bar, Butler Service, Outdoor pool, Breakfast Available, Parking, Facilities for Disabled Guests, Housekeeping, Kids Stay Free, Sauna, Afrikaans, Allergy-free Room, Arabic, ATM On Site, Baggage Storage, Bathrobes, Blackout Curtains, Bottled Water, Breakfast in the Room, Bridal Suite, Car Hire, 24-Hour Check-in, Chinese, Coffee Shop, Coffee / Tea Maker, Complimentary Tea, Currency Exchange, Desk, Doorperson, English, Facial Treatments, Filipino, Fitness Classes, Fitness / Spa Locker Rooms, Complimentary Instant Coffee, Complimentary Toiletries, 24-Hour Front Desk, Gift Shop, Hair Dryer, Hammam, Head Massage, Hindi, Interconnected room(s) available, Iron, Ironing Service, Italian, Kids' Meals, Kid-Friendly Buffet, Korean, Massage, Nightclub / DJ, Parking Garage, Pool / Beach Towels, Private Check-in / Check-out, Russian, Salon, 24-Hour Security, Shoeshine, Soundproof Rooms, Special Diet Menus, Steam Room, Taxi Service, Telephone, Valet Parking, VIP Room Facilities, Wake Up Service / Alarm Clock, Wine / Champagne, Bidet, Cable / Satellite TV, Express Check-in / Check-out, Clothes Rack, Couples Massage, Electric Kettle, Executive Lounge Access, Foot Massage, Free Wifi in the Business Center, Full Body Massage, Happy Hour, Laptop Safe, Makeup Services, Manicure, Outdoor Dining Area, Private Bathrooms, Walk-in Shower, Wardrobe / Closet, Waxing Services, Photo Copier / Fax In Business Center, Yoga Classes","City View, Green","#37 of 1,055 hotels in Dubai",4.5,7596,$$
20317535,hotels,Hotel Riu Dubai,"The All Inclusive 24h Hotel Riu Dubai opened its doors in September 2020 and is situated at Deira Islands, on the coast of the city of Dubai, directly on the beach. The RIU Classic Hotels offer comfortable rooms and excellent facilities with great leisure and relaxation facilities, as well as international gastronomy. Enjoy a relaxing holiday - whether alone, with family, partner or friends! The location is ideal because of its proximity to Dubai - Burj Khalifa (15 km) and Dubai International Airport (DXB) (11 km) and invites you to explore the area. The hotel has 787 comfortably furnished rooms with free WiFi and offers many amenities. Relax in our spa or get in shape at the gym. 3 outdoor pools, 2 children’s pools (1 of them with slides) and the “Splash Water World” water park. For the youngest guests, RiuLand kids' club (4-7 & 8-12 yrs), and for adults, day and evening entertainment. For lovers of gastronomy, live cooking stations and themed buffets at our main restaurant as well as Asian, Italian and Lebanese specialty restaurants; 6 bars.",Dubai,United Arab Emirates,"Pool, Kids Activities, Beachfront, Suites, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Spa, Airport transportation, Wifi, Free Wifi, Dry Cleaning, Meeting rooms, Non-smoking rooms, Business center, Fitness center, Laundry Service, Concierge, Air conditioning, Refrigerator in room, Minibar, Babysitting, Safe, Swimup Bar, Water Park, Breakfast Buffet, Poolside Bar, Private Balcony, Outdoor pool, Parking, Facilities for Disabled Guests, Housekeeping, Kids Club, Sauna, Additional Bathroom, Arabic, Bath / Shower, Car Hire, Desk, English, Entertainment Staff, Evening Entertainment, Filipino, Fitness Classes, Fitness / Spa Locker Rooms, 24-Hour Front Desk, Hair Dryer, Massage, Pool / Beach Towels, Salon, Seating Area, 24-Hour Security, Snack Bar, Sun Loungers / Beach Chairs, Sun Terrace, Sun Umbrellas, Taxi Service, Telephone, Beach Access, Internet, Free Internet, Conference Facilities, Flatscreen TV, Kids pool, Cable / Satellite TV, Children's Playground, Dining Area, Electric Kettle, Highchairs Available, Outdoor Dining Area, Private Bathrooms, Separate Living Room, Sofa, Sofa Bed, Wardrobe / Closet, Waterslide, Water Sport Equipment Rentals","Ocean View, Mid-range","#262 of 1,055 hotels in Dubai",4.5,2295,$$$
302098,hotels,Shangri-La Dubai,"Shangri-La Dubai is an ideal starting point from which to discover the city’s dynamic energy. Strategically located on Sheikh Zayed Road, minutes away from The Dubai Mall, Dubai International Financial Centre (DIFC) and City Walk, the hotel offers 302 spacious rooms and suites with stunning views of the Downtown Dubai skyline or the Arabian Sea. Asian-inspired dining options and a pool offering unobstructed views of the Burj Khalifa complete the experience.",Dubai,United Arab Emirates,"Pool, Free Internet, Free Wifi, Suites, Free parking, Internet, Room service, Wheelchair access, Restaurant, Bar/Lounge, Spa, Wifi, Public Wifi, Dry Cleaning, Meeting rooms, Hot Tub, Non-smoking rooms, Business center, Fitness center, Laundry Service, Concierge, Banquet Room, Air conditioning, Family Rooms, Multilingual Staff, Smoking rooms available, Accessible rooms, Minibar, Conference Facilities, Babysitting, Safe, Rooftop Bar, Swimup Bar, Rooftop Pool, Heated pool, Flatscreen TV, Rooftop Terrace, Breakfast Buffet, Poolside Bar, Indoor pool, Butler Service, Outdoor pool, Breakfast Available, Parking, Facilities for Disabled Guests, Housekeeping, Kids Stay Free, Sauna, Electric vehicle charging station, Additional Bathroom, Allergy-free Room, Arabic, Baggage Storage, Bath / Shower, Bathrobes, Blackout Curtains, Bottled Water, Breakfast in the Room, Car Hire, Chinese, Coffee / Tea Maker, Couples Massage, Currency Exchange, Desk, Doorperson, English, Facial Treatments, Filipino, Fitness Classes, Fitness / Spa Locker Rooms, Complimentary Instant Coffee, Complimentary Toiletries, French, 24-Hour Front Desk, Full Body Massage, German, Greek, Hair Dryer, Hammam, Head Massage, Hindi, Indonesian, Interconnected room(s) available, Iron, Ironing Service, Kid-Friendly Buffet, Korean, Laptop Safe, Massage, Parking Garage, Pool / Beach Towels, Pool with View, Portuguese, Private Check-in / Check-out, Russian, Salon, 24-Hour Security, Secured Parking, Shoeshine, Soundproof Rooms, Special Diet Menus, Steam Room, Sun Loungers / Beach Chairs, Sun Umbrellas, Taxi Service, Telephone, Valet Parking, Vietnamese, VIP Room Facilities, Wake Up Service / Alarm Clock, Wine / Champagne, Air Purifier, Bidet, Body Wrap, Cable / Satellite TV, Express Check-in / Check-out, Children's Television Networks, Electric Kettle, Executive Lounge Access, Foot Bath, Foot Massage, Hand Massage, Landmark View, Makeup Services, Manicure, On-Demand Movies, Pedicure, Private Bathrooms, Radio, Sinhala, Walk-in Shower, Wardrobe / Closet, Whirlpool Bathtub","City View, Centrally Located","#51 of 1,055 hotels in Dubai",5.0,3934,$$
656624,hotels,Raffles Dubai,"A stunning landmark hotel in a distinctive pyramid shape merges Asian style with an Egyptian aesthetic. Ideally located in the city center with a shopping adventure lies around the corner as Raffles Dubai adjoins Wafi mall, one of Dubai's most exclusive shopping and leisure destinations, home to hundreds of boutiques offering an extensive selection of international haute couture, jewelries and gifts in addition to nearby authentic souks, including the impressive Khan Murjan, offering traditional crafts by artisans from the region. Featuring 252 luxurious rooms and suites, this award-winning Dubai hotel offers some of the most spacious rooms in the city, each with generously-sized private balconies. Brilliant contemporary interiors, faultless service and 7 superb restaurants and bars offering an extensive array of dining, entertainment and clubbing options, while Raffles Spa beckons with a pampering menu to emerge transformed, like a lotus that journey from bud to the radiance of full bloom.",Dubai,United Arab Emirates,"Pool, Free parking, Internet, Free Internet, Free Wifi, Laundry Service, Suites, Kids Activities, Room service, Wheelchair access, Restaurant, Bar/Lounge, Spa, Airport transportation, Wifi, Public Wifi, Dry Cleaning, Meeting rooms, Hot Tub, Non-smoking rooms, Business center, Fitness center, Concierge, Banquet Room, Air conditioning, Family Rooms, Multilingual Staff, Smoking rooms available, Accessible rooms, Refrigerator in room, Minibar, Conference Facilities, Babysitting, Non-smoking hotel, Safe, Rooftop Bar, Swimup Bar, Heated pool, Flatscreen TV, Rooftop Terrace, Breakfast Buffet, Poolside Bar, Private Balcony, Butler Service, Outdoor pool, Breakfast Available, Parking, Facilities for Disabled Guests, Housekeeping, Kids Club, Sauna, Additional Bathroom, Afrikaans, Allergy-free Room, Arabic, ATM On Site, Baggage Storage, Bath / Shower, Bathrobes, Blackout Curtains, Bottled Water, Breakfast in the Room, Bridal Suite, Car Hire, 24-Hour Check-in, Chinese, Coffee Shop, Coffee / Tea Maker, Complimentary Tea, Currency Exchange, Desk, Doorperson, English, Extra Long Beds, Facial Treatments, Filipino, Fitness Classes, Fitness / Spa Locker Rooms, Foot Massage, Free Private Parking Nearby, Free Public Parking Nearby, Complimentary Instant Coffee, Complimentary Toiletries, French, 24-Hour Front Desk, German, Gift Shop, Hair Dryer, Head Massage, Hindi, Interconnected room(s) available, Iron, Ironing Service, Kids' Meals, Kid-Friendly Buffet, Kids' Outdoor Play Equipment, Laptop Safe, Massage, Newspaper, Nightclub / DJ, Outdoor Furniture, Parking Garage, Pool / Beach Towels, Private Check-in / Check-out, Russian, Salon, Seating Area, 24-Hour Security, Secured Parking, Shoeshine, Shops, Soundproof Rooms, Special Diet Menus, Steam Room, Sun Loungers / Beach Chairs, Sun Terrace, Sun Umbrellas, Taxi Service, Telephone, Turkish, VIP Room Facilities, Wake Up Service / Alarm Clock, Wine / Champagne, Kids pool, Archery Off-site, Bidet, Bowling Off-site, Cable / Satellite TV, Express Check-in / Check-out, Children's Television Networks, Children's Playground, Clothes Rack, Couples Massage, Electric Kettle, Executive Lounge Access, First Aid Kit, Free Wifi in the Business Center, Free Wired Internet in the Business Center, Full Body Massage, Hand Massage, Happy Hour, Highchairs Available, iPod Docking Station, Landmark View, Manicure, Neck Massage, Outdoor Dining Area, Pedicure, Personal Trainer, Pool View, Private Bathrooms, Radio, Shallow End, Squash Off-site, Sun Deck, Tamil, Tennis Court Off-site, Tile / Marble Floor, Ukrainian, Umbrella, Urdu, Valet Parking, Walk-in Shower, Wardrobe / Closet, Water Park Off-site, Photo Copier / Fax In Business Center","Value, Family","#34 of 1,055 hotels in Dubai",5.0,6731,$$$
20059330,hotels,ME Dubai,"Housed in the iconic Opus by Omniyat building in the Burj Khalifa district, ME Dubai stands out from the crowd. All 93 rooms and suites of ME Dubai are congruent with Dame Zaha Hadid’s signature Design. Her organic shapes, flowing in appearance, combine with geometric structures to create positive energy and a calming, serene mood. Rooms include a 65inch 4K LED TV, MaxiBar with coffee and tea making facilities, complimentary Wi-Fi, large bathroom with torrential rain shower and bathtub, plus state-of-the-art BOSE sound system. Regard ME Dubai as your ‘Lifestyle Concierge’, delivering bespoke à la carte or pre-selected services within your personal space, tailored to your personality. Whether you’re looking to immerse yourself in the country’s deep-rooted history or explore the emerging art and design scene, Dubai has something to offer for everyone. The pool will be closed until August 1st.",Dubai,United Arab Emirates,"Pool, Internet, Suites, Room service, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Pets Allowed, Spa, Airport transportation, Wifi, Free Wifi, Dry Cleaning, Meeting rooms, Hot Tub, Non-smoking rooms, Business center, Fitness center, Laundry Service, Concierge, Air conditioning, Multilingual Staff, Minibar, Babysitting, Safe, Breakfast Buffet, Outdoor pool, Breakfast Available, Parking, Facilities for Disabled Guests, Housekeeping, Sauna, Additional Bathroom, Allergy-free Room, Arabic, Baggage Storage, Bath / Shower, Bathrobes, Blackout Curtains, Bottled Water, Car Hire, 24-Hour Check-in, Coffee Shop, Complimentary Tea, Desk, Doorperson, English, Fitness Classes, Fitness / Spa Locker Rooms, Free Private Parking Nearby, Free Public Parking Nearby, Complimentary Instant Coffee, 24-Hour Front Desk, Hindi, Iron, Ironing Service, Italian, Nightclub / DJ, Pool / Beach Towels, Private Check-in / Check-out, Russian, Seating Area, 24-Hour Security, Soundproof Rooms, Spanish, Special Diet Menus, Street Parking, Sun Terrace, Sun Umbrellas, Taxi Service, Telephone, Wake Up Service / Alarm Clock, Flatscreen TV, Cable / Satellite TV, Chinese, Clothes Rack, German, Laptop Safe, Private Bathrooms, Valet Parking","Quaint, Modern","#67 of 1,055 hotels in Dubai",5.0,736,$$
7768334,hotels,Palazzo Versace Dubai,"Palazzo Versace Dubai is a neoclassical masterpiece with subtle traces of Arabian architecture. Featuring a striking entrance, high ceilings, landscaped gardens, and a range of well-crafted Italian furnishings, the hotel is truly symbolic of the Versace lifestyle. Every single piece of furniture and fabric that adorns the hotel's 215 hotel rooms and suites, and 169 residences, is designed and tailor-made by Versace. Each of the hotel's 8 restaurants and bars is designed to have an al fresco terrace to reflect the heritage of Palazzos. The hotel is 15 minutes away from the Airport and within 10 minutes of proximity to Downtown / Burj Khalifa, Dubai International Financial Center, Festival City Mall, and Dubai Mall. The beautifully landscaped gardens and the unobstructed views of the Dubai Creek and skyline make the hotel an ideal venue for weddings and social events.",Dubai,United Arab Emirates,"Pool, Internet, Kids Activities, Shuttle Bus Service, Suites, Room service, Free Internet, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Spa, Airport transportation, Wifi, Public Wifi, Free Wifi, Dry Cleaning, Meeting rooms, Hot Tub, Non-smoking rooms, Business center, Fitness center, Laundry Service, Concierge, Banquet Room, Air conditioning, Family Rooms, Multilingual Staff, Smoking rooms available, Accessible rooms, Refrigerator in room, Minibar, Conference Facilities, Babysitting, Safe, Swimup Bar, Heated pool, Flatscreen TV, Breakfast Buffet, Poolside Bar, Private Balcony, Butler Service, Infinity Pool, Adult pool, Outdoor pool, Breakfast Available, Parking, Facilities for Disabled Guests, Kids Club, Kids Stay Free, Electric vehicle charging station, Additional Bathroom, Afrikaans, Allergy-free Room, Arabic, ATM On Site, Baggage Storage, Bathrobes, Blackout Curtains, Bottled Water, Breakfast in the Room, Bridal Suite, Car Hire, Chinese, Coffee Shop, Couples Massage, Currency Exchange, Doorperson, Evening Entertainment, Facial Treatments, Filipino, Fitness Classes, Fitness / Spa Locker Rooms, Complimentary Instant Coffee, 24-Hour Front Desk, Full Body Massage, Head Massage, Hindi, Ironing Service, Laptop Safe, Massage, Newspaper, Pool / Beach Towels, Russian, Salon, 24-Hour Security, Shoeshine, Special Diet Menus, Steam Room, Sun Umbrellas, Taxi Service, Telephone, Valet Parking, VIP Room Facilities, Kids pool, Aerobics Off-site, Archery Off-site, Bowling Off-site, Canoeing Off-site, Highchairs Available, Outdoor Dining Area, Raquetball Off-site, Tennis Court Off-site, Wardrobe / Closet, Water Park Off-site, Water Sport Equipment Rentals","Art Deco Style, River View","#359 of 1,055 hotels in Dubai",4.5,3348,$$$
15016790,hotels,W Dubai - The Palm,"Situated on the sun-soaked island of Palm Jumeirah, W Dubai – The Palm boasts 349 guest rooms and suites, each with private balconies and views of either the Arabian Gulf or the captivating Dubai skyline. Bold colors, retro details, urban-inspired art and spa-style bathrooms define the design. Each room boasts inviting soaking tubs, spacious showers and indulgent bathroom amenities. Our vibrant Escape is also pet-friendly, so don’t forget to bring your furry friends along, too!",Dubai,United Arab Emirates,"Pool, Internet, Kids Activities, Beachfront, Shuttle Bus Service, Suites, Room service, Free Internet, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Pets Allowed, Spa, Airport transportation, Public Wifi, Free Wifi, Dry Cleaning, Meeting rooms, Hot Tub, Non-smoking rooms, Business center, Fitness center, Laundry Service, Concierge, Banquet Room, Air conditioning, Family Rooms, Multilingual Staff, Accessible rooms, Minibar, Conference Facilities, Babysitting, Safe, Rooftop Bar, Swimup Bar, Heated pool, Flatscreen TV, Breakfast Buffet, Poolside Bar, Private Balcony, Butler Service, Outdoor pool, Parking, Facilities for Disabled Guests, Housekeeping, Kids Club, Kids Stay Free, Sauna, Additional Bathroom, Afrikaans, Allergy-free Room, Arabic, ATM On Site, Baggage Storage, Bath / Shower, Bathrobes, Bottled Water, Breakfast in the Room, Car Hire, 24-Hour Check-in, Coffee Shop, Coffee / Tea Maker, Couples Massage, Currency Exchange, Doorperson, Dutch, English, Entertainment Staff, Facial Treatments, Filipino, Fitness Classes, Fitness / Spa Locker Rooms, Foot Massage, Free Public Parking Nearby, Complimentary Toiletries, French, 24-Hour Front Desk, Full Body Massage, German, Gift Shop, Hair Dryer, Head Massage, Hindi, Interconnected room(s) available, Iron, Ironing Service, Kid-Friendly Buffet, Laptop Safe, Massage, Nightclub / DJ, Outdoor Furniture, Pool / Beach Towels, Pool with View, Russian, Salon, Seating Area, 24-Hour Security, Shoeshine, Snack Bar, Spanish, Special Diet Menus, Steam Room, Sun Loungers / Beach Chairs, Sun Terrace, Sun Umbrellas, Taxi Service, Telephone, Valet Parking, VIP Room Facilities, Wake Up Service / Alarm Clock, Wine / Champagne, Beach Access, Smoking rooms available, Breakfast Available, Clothes Rack, Happy Hour, iPod Docking Station, Landmark View, Outdoor Dining Area, Pool View, Private Bathrooms, Separate Living Room, Sofa, Walk-in Shower, Wardrobe / Closet","Quirky Hotels, Trendy","#191 of 1,055 hotels in Dubai",4.5,2910,$$$
7309237,hotels,Taj Dubai,"An inspiring blend of sophisticated luxury, authentic Indian heritage and contemporary style - Taj Dubai is a world-class destination. Taking prime position overlooking the prestigious Downtown and Burj Khalifa precinct, it puts you at the heart of where it happens: a five minute stroll from the city's dynamic business centre and a myriad of exclusive shopping and fine dining experiences. We are right by the Burj Khalifa - so from our luxurious suites you get to enjoy awe-inspiring views of the world's tallest building and its magical dancing fountain. And you are only a short walk away from the Dubai Mall, a fashionista's paradise boasting over 1,200 stores and trendsetting venues.",Dubai,United Arab Emirates,"Internet, Free Internet, Free Wifi, Pool, Shuttle Bus Service, Suites, Room service, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Spa, Airport transportation, Wifi, Public Wifi, Dry Cleaning, Meeting rooms, Hot Tub, Non-smoking rooms, Business center, Fitness center, Laundry Service, Concierge, Banquet Room, Air conditioning, Family Rooms, Multilingual Staff, Smoking rooms available, Accessible rooms, Refrigerator in room, Minibar, Conference Facilities, Babysitting, Non-smoking hotel, Safe, Swimup Bar, Flatscreen TV, Breakfast Buffet, Poolside Bar, Butler Service, Outdoor pool, Breakfast Available, Parking, Free Shuttle or Taxi Services, Facilities for Disabled Guests, Housekeeping, Kids Stay Free, Sauna, Allergy-free Room, Arabic, Baggage Storage, Bathrobes, Blackout Curtains, Bottled Water, Breakfast in the Room, Car Hire, Chinese, Coffee Shop, Coffee / Tea Maker, Couples Massage, Currency Exchange, Desk, Doorperson, English, Facial Treatments, Fitness Classes, Fitness / Spa Locker Rooms, Complimentary Instant Coffee, French, 24-Hour Front Desk, Full Body Massage, Head Massage, Hindi, Indoor Play Area for Children, Iron, Ironing Service, Kids' Meals, Kid-Friendly Buffet, Laptop Safe, Massage, Newspaper, Nightclub / DJ, Pool / Beach Towels, Private Check-in / Check-out, Russian, Salon, 24-Hour Security, Secured Parking, Shoeshine, Snack Bar, Soundproof Rooms, Special Diet Menus, Steam Room, Sun Loungers / Beach Chairs, Sun Terrace, Sun Umbrellas, Taxi Service, Telephone, VIP Room Facilities, Wake Up Service / Alarm Clock, Kids pool, Body Wrap, Clothes Rack, Executive Lounge Access, First Aid Kit, Foot Massage, Complimentary Welcome Drink, Free Wifi in the Business Center, Free Wired Internet in the Business Center, Hand Massage, Happy Hour, Highchairs Available, Landmark View, Makeup Services, Manicure, Neck Massage, Nepali, Outdoor Dining Area, Pedicure, Private Bathrooms, Sofa, Tamil, Valet Parking, Wardrobe / Closet, Waxing Services, Photo Copier / Fax In Business Center","Quiet, Great View","#100 of 1,055 hotels in Dubai",5.0,5622,$$
12349800,hotels,Rixos Premium Dubai JBR,"Looking for a place to stay in Dubai? Then look no further than Rixos Premium Dubai, a luxury hotel that brings the best of Dubai to your doorstep.
Guest rooms offer amenities such as a flat screen TV, air conditioning, and a minibar, and guests can go online with free wifi offered by the hotel.
Rixos Premium Dubai features room service and a concierge, to help make your stay more enjoyable. The property also boasts a pool and breakfast. If you are driving to Rixos Premium Dubai, free parking is available.
Close to some of Dubai's most popular landmarks, such as Flying Cup (0.3 mi) and Dubai Water Canal (0.6 mi), Rixos Premium Dubai is a great destination for tourists.
While in Dubai, you may want to check out some of the restaurants that are a short walk away from Rixos Premium Dubai, including Buddha-Bar (0.7 mi), Barasti Beach Bar (1.0 mi), and Observatory Bar & Grill (0.9 mi).
Best of all, Rixos Premium Dubai makes it easy to experience some great Dubai attractions like The Walk At JBR (0.3 mi), which is a short distance away.
We’re sure you’ll enjoy your stay at Rixos Premium Dubai as you experience everything Dubai has to offer.
",Dubai,United Arab Emirates,"Pool, Internet, Beachfront, Shuttle Bus Service, Suites, Room service, Free Internet, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Spa, Airport transportation, Wifi, Public Wifi, Free Wifi, Dry Cleaning, Meeting rooms, Hot Tub, Non-smoking rooms, Business center, Fitness center, Laundry Service, Concierge, Banquet Room, Air conditioning, Family Rooms, Multilingual Staff, Accessible rooms, Minibar, Conference Facilities, Babysitting, Non-smoking hotel, Safe, Swimup Bar, Flatscreen TV, Breakfast Buffet, Poolside Bar, Butler Service, Outdoor pool, Private Beaches, Breakfast Available, Parking, Facilities for Disabled Guests, Housekeeping, Sauna, Additional Bathroom, Allergy-free Room, Arabic, ATM On Site, Baggage Storage, Bath / Shower, Bathrobes, Blackout Curtains, Bottled Water, Breakfast in the Room, Car Hire, Clothes Rack, Coffee Shop, Couples Massage, Currency Exchange, Doorperson, English, Entertainment Staff, Facial Treatments, Filipino, Fitness Classes, Fitness / Spa Locker Rooms, Foot Massage, Free Private Parking Nearby, Complimentary Instant Coffee, Complimentary Toiletries, French, 24-Hour Front Desk, Full Body Massage, German, Hair Dryer, Hammam, Head Massage, Hindi, Iron, Ironing Service, Kid-Friendly Buffet, Laptop Safe, Massage, Newspaper, Nightclub / DJ, Pool / Beach Towels, Pool with View, Portuguese, Paid Private Parking On-site, Paid Private Parking Nearby, Paid Public Parking Nearby, Paid Public Parking On-site, Russian, Salon, 24-Hour Security, Secured Parking, Shoeshine, Shops, Snack Bar, Soundproof Rooms, Steam Room, Sun Loungers / Beach Chairs, Sun Umbrellas, Taxi Service, Turkish, VIP Room Facilities, Wake Up Service / Alarm Clock, Wine / Champagne, Kids pool, Air Purifier, Children's Playground, Electric Kettle, First Aid Kit, Highchairs Available, Manicure, Pedicure, Personal Trainer, Strollers, Tile / Marble Floor, Ukrainian, Umbrella, Urdu, Valet Parking, Walk-in Shower, Beach Access","Trendy, Value","#104 of 1,055 hotels in Dubai",5.0,7871,$$$
21321279,hotels,Sofitel Dubai the Obelisk,"A landmark destination in the heart of Dubai, Sofitel Dubai The Obelisk provides guests with timeless elegance. Attention to detail, Art Deco flair and a marriage of cultures and heritage are hallmarks of not just Sofitel Dubai The Obelisk's overall architecture and design, but of the 498 luxury guestrooms and suites, as well as 97 furnished and serviced apartments.",Dubai,United Arab Emirates,"Pool, Internet, Shuttle Bus Service, Suites, Room service, Free Internet, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Kitchenette, Spa, Airport transportation, Wifi, Free Wifi, Dry Cleaning, Meeting rooms, Non-smoking rooms, Fitness center, Laundry Service, Concierge, Banquet Room, Air conditioning, Multilingual Staff, Accessible rooms, Refrigerator in room, Minibar, Babysitting, Safe, Swimup Bar, Heated pool, Breakfast Buffet, Poolside Bar, Butler Service, Outdoor pool, Breakfast Available, Parking, Free Shuttle or Taxi Services, Facilities for Disabled Guests, Housekeeping, Kids Club, Kids Stay Free, Sauna, Electric vehicle charging station, Additional Bathroom, Allergy-free Room, Arabic, Baggage Storage, Bath / Shower, Bathrobes, Blackout Curtains, Bottled Water, Breakfast in the Room, Car Hire, 24-Hour Check-in, Coffee Shop, Coffee / Tea Maker, Complimentary Tea, Currency Exchange, Desk, Doorperson, Dutch, English, Extra Long Beds, Facial Treatments, Filipino, Fitness Classes, Fitness / Spa Locker Rooms, Free Public Parking Nearby, Complimentary Instant Coffee, Complimentary Toiletries, French, 24-Hour Front Desk, Hair Dryer, Hammam, Hindi, Indoor Play Area for Children, Interconnected room(s) available, Iron, Ironing Service, Kids' Meals, Kitchenware, Massage, Newspaper, Outdoor Furniture, Pool / Beach Towels, Pool with View, Russian, Salon, Seating Area, 24-Hour Security, Secured Parking, Shared Lounge / TV Area, Shoeshine, Shops, Soundproof Rooms, Spanish, Special Diet Menus, Steam Room, Sun Loungers / Beach Chairs, Sun Terrace, Sun Umbrellas, Taxi Service, Telephone, Turkish, Wake Up Service / Alarm Clock, Wine / Champagne, Public Wifi, Family Rooms, Smoking rooms available, Conference Facilities, Flatscreen TV, Kids pool, Air Purifier, Azerbaijani, Bidet, Cable / Satellite TV, Express Check-in / Check-out, Children's Television Networks, Couples Massage, Dining Area, Electric Kettle, Executive Lounge Access, First Aid Kit, Foot Massage, Complimentary Welcome Drink, Full Body Massage, Hand Massage, Happy Hour, Head Massage, Highchairs Available, Landmark View, Laptop Safe, Neck Massage, Nepali, Outdoor Dining Area, Personal Trainer, Private Bathrooms, Paid Private Parking Nearby, Paid Public Parking Nearby, Paid Public Parking On-site, Saltwater Pool, Separate Dining Area, Separate Living Room, Shallow End, Sofa, Sun Deck, Swahili, Tamil, Ukrainian, Umbrella, Valet Parking, Walk-in Shower, Wardrobe / Closet, Yoga Classes, Yoga Room","Luxury, Romantic","#433 of 1,055 hotels in Dubai",5.0,2772,$$
