review_id,location_id,user_id,rating,published_date,title,text,trip_type,travel_date
888241560,25365215,2056,5,2023-04-29T14:02:45Z,Best in Duqm!!!,"Best spicy broasted & grilled chicken at Duqm!!!
Cannot beat the consistency of their cheesy pizzas.
Fresh juices are just 🤌😘",Friends getaway,2023-04-30
827109387,23882972,2055,5,2022-02-07T02:28:58Z,Best in Duqm,"Food and beverages are delicious, Professional and helpful stuff. Nice and clean place. Best in Duqm.",Family,2021-12-31
828585772,23882972,2054,5,2022-02-19T22:04:33Z,Highly Recommended,"Very good place in Duqm .... Everything was perfect, the food was very tasty, the dessert was delicious. One of the best coffee I've had in Duqm.  Very friendly employees, always attentive to what you may need.  A very clean, cozy and beautiful place.  It's nice to eat there.  I will definitely recommend others to visit.",Friends getaway,2022-02-28
869828482,23882972,2053,3,2022-11-27T02:29:58Z,Nice place average food,"The food & drink wasn’t as good as i expected, 
I order stake but it wasn’t near to steak. 

Anyhow the workers where nice & the sitting place is good,",Friends getaway,2022-11-30
878029326,23882972,1876,4,2023-02-09T08:13:54Z,One of the best in Duqm,Beautiful and superb coffee shop in Duqm. They have great menu as well as good service. Their Americano coffee is recommended.,NONE,2022-12-31
873376574,25234055,1058,4,2022-12-30T23:08:06Z,"Great, tasty, affordable comfort food","Delighted to find a Zanzibari restaurant om the road from Muscat to Salalah.

Especially when I find that they have Ugali, which is very similar to sadza or mieliepap, that I know from Sub-Saharan Africa.

The waiter that served me could speak English, which saved me from subjecting him to my broken Arabic, and was helpful at pointing out which dishes were vegetable only, and also highlighting which had no ghee (I'm vegan).

I ordered the Ugali with beans and salad. It was delicious comfort food.

I couldn't give them 5, only because he also brought out king fish curry on the tray, which I couldn't eat as a vegan. I recognise he only did this, because he was proud of it, and I wasn't billed for it, so I'm hovering between a 4 and a 5, because the rest of the meal was delicious and exactly what I wanted and needed. In the end, I think of the other restaurants I rated a 5, which were truly exceptional, so I think this one earns a well-deserved 4, for what it is ... A cheap, friendly restaurant and takeaway, with good, comfort food from Africa, Zanzibar and the Gulf.",Solo travel,2022-12-31
640513957,14957572,2052,3,2018-12-19T09:01:46Z,Ocean Restaurant ( A Restaurant like Second Class Airplane Available in Duqm),"Hi Guys! i'm here to review this restaurant!
Services are not that good , but still it is okay.
The Foods are delicious especially Manakish.
The Value Is Average / Mid - Range.
Cleanliness is Excellent.
This is what i wanted to share with you guys!
Bye Bye!",Solo travel,2018-06-30
660582192,23718263,2051,5,2019-03-23T15:15:20Z,Lovely as always,Excellent buffet and a la carte menu.  The seafood is particularly good.  The staff are friendly and attentive and the place has a nice atmosphere,Solo travel,2019-02-28
680032227,23718263,2050,1,2019-06-08T17:32:50Z,Low quality in 5 stars hotel," Food less than expectations ..
Some employees are the worst i ever seen in my life like Jeoy .. who is not able to speak politly or even do the minimum requirement ... we requested a small thing .. after he refused i told him that i will checkout because of this silly attitude... he surprised me by telling "" its up to you its not my issue"" the most rude answer i heared from a hotel employee ... some waiters also can't smile in front of us ... 

Some employees trying to recover this horiple restorant like shef Kareem ..  he made some good dishes after we asked him and represented them with his great smile .and Umakanta was polite and welcoming person.

Over all this restorant is in a mess and i couldn't understand their standards of low hospitality and low quality of food compared with any restorant.

Me and My wife are very annoyed because of bad behavior of most of the employees who do not have enough experience and knowledge to work in 5 stars hotel .. if we can call it 5 stars!!!!!!!!!!!

",Family,2019-06-30
775664912,23718263,2049,5,2020-10-26T12:44:13Z,Fantastic,The Souq restaurant became a part and parcel of our stay at Crowne Plaza Duqm. Owing to the Covid pandemic we decided to stay in and have our lunches and dinner at Souq. We are glad we opted for this option as we were treated to some amazing hospitality and even wonderful food. The staff need to pay their backs for going the extra mile to wow us and everyone was so down to earth and friendly with a smile welcoming you every single time we walked in. The Souq serves some tantalising breakfast buffet style as well as dinner. We look forward to our next visit whenever possible,Family,2020-10-31
